# id,l_boiling,l_electronegativity,l_melting,l_radius,s_boiling,s_electronegativity,s_melting,s_radius,t_intermetallic,t_mechanism,t_phase_1,t_phase_2,t_s_homologous,t_temperature
8.380000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,9.540698681649562332e+02,2.533268481722515730e+00,1.773000000000000000e+03,1.012205676826133161e+00,-2.128392569630028763e+00,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
8.390000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,3.133228520315646165e+03,1.830372081146948160e+00,1.773000000000000000e+03,1.398558931306411290e+00,-6.837464475862020663e-02,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
8.400000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,3.130706414183323432e+03,1.828914383549810285e+00,1.773000000000000000e+03,1.399849320263056196e+00,-6.837464475862020663e-02,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
8.410000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,3.134000000000000000e+03,1.830000000000000071e+00,1.711000000000000000e+03,1.399999999999999911e+00,-9.077174999998761235e-03,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.933372296902396537e-01,6.730000000000000000e+02
8.420000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,3.147201203061121760e+03,1.855581577864806153e+00,1.773000000000000000e+03,1.382611869975834296e+00,-2.679188835000004820e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
8.430000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,3.168399331451192211e+03,1.905647646679147655e+00,1.323000000000000000e+03,1.358633401579719235e+00,-1.241792477142856371e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.086923658352229261e-01,6.730000000000000000e+02
8.440000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,2.709918896859390316e+03,1.835872777443467108e+00,1.273000000000000000e+03,1.348581037253175685e+00,-2.134279480000003670e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.286724273369992622e-01,6.730000000000000000e+02
8.450000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.357000000000000000e+03,1.350000000000000089e+00,-3.194974500000036244e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.959469417833456406e-01,6.730000000000000000e+02
8.460000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.335000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.209426888055704419e-01,6.730000000000000000e+02
8.470000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,2.782865324441734174e+03,1.610472642227485762e+00,9.335000000000000000e+02,1.252709453992208566e+00,-1.855255622222221346e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.209426888055704419e-01,6.730000000000000000e+02
8.480000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,2.747287696613365370e+03,1.607289707594165007e+00,9.335000000000000000e+02,1.258775167700878939e+00,-1.855255622222221346e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.209426888055704419e-01,6.730000000000000000e+02
8.490000000000000000e+02,2.875000000000000000e+03,1.959999999999999964e+00,5.048999999999999773e+02,1.449999999999999956e+00,1.363000000000000000e+03,1.310000000000000053e+00,9.230000000000000000e+02,1.500000000000000000e+00,-1.855255622222221346e-01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,7.291440953412784420e-01,6.730000000000000000e+02
8.500000000000000000e+02,2.436137674279257226e+03,1.800713107790740342e+00,2.883000000000000114e+02,1.377390768410497568e+00,5.828000000000000000e+03,2.359999999999999876e+00,3.695000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.064952638700947918e-02,2.980000000000000000e+02
8.510000000000000000e+02,2.436137674279257226e+03,1.800713107790740342e+00,2.883000000000000114e+02,1.377390768410497568e+00,2.944000000000000000e+03,1.659999999999999920e+00,2.180000000000000000e+03,1.399999999999999911e+00,-1.563327179999994543e-01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.366972477064220259e-01,2.980000000000000000e+02
8.270000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,9.540698681649562332e+02,2.533268481722515730e+00,1.773000000000000000e+03,1.012205676826133161e+00,-2.128392569630028763e+00,0.000000000000000000e+00,2.000000000000000000e+00,6.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
8.520000000000000000e+02,2.436137674279257226e+03,1.800713107790740342e+00,2.883000000000000114e+02,1.377390768410497568e+00,1.363000000000000000e+03,1.310000000000000053e+00,9.230000000000000000e+02,1.500000000000000000e+00,-1.500132816666663871e-01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.228602383531961051e-01,2.980000000000000000e+02
8.260000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,3.141419875417159801e+03,1.836470183811984347e+00,1.523000000000000000e+03,1.390175253651197540e+00,-5.266447708333323874e-01,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.418910045961917388e-01,6.730000000000000000e+02
8.240000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,1.180000000000000000e+03,1.649999999999999911e+00,6.930000000000000000e+02,1.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,9.711399711399711920e-01,6.730000000000000000e+02
8.010000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.447000000000000455e+02,1.600000000000000089e+00,4.682000000000000000e+03,1.330000000000000071e+00,2.128000000000000000e+03,1.550000000000000044e+00,-3.756827783333338000e-01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.162593984962406291e-01,6.730000000000000000e+02
8.020000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.447000000000000455e+02,1.600000000000000089e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.357000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.959469417833456406e-01,6.730000000000000000e+02
8.030000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.447000000000000455e+02,1.600000000000000089e+00,3.168399331451192211e+03,1.905647646679147655e+00,1.323000000000000000e+03,1.358633401579719235e+00,-1.241792477142856371e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.086923658352229261e-01,6.730000000000000000e+02
8.040000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.447000000000000455e+02,1.600000000000000089e+00,2.709918896859390316e+03,1.835872777443467108e+00,1.273000000000000000e+03,1.348581037253175685e+00,-2.134279480000003670e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.286724273369992622e-01,6.730000000000000000e+02
8.050000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.447000000000000455e+02,1.600000000000000089e+00,2.581672009471974889e+03,1.823474258598016373e+00,1.223000000000000000e+03,1.350000000000000089e+00,-1.014189399038459560e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.502861815208504037e-01,6.730000000000000000e+02
8.060000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.447000000000000455e+02,1.600000000000000089e+00,3.132725187552608531e+03,1.830059935378728131e+00,1.789000000000000000e+03,1.398864110885795764e+00,-6.837464475862020663e-02,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.761878144214644837e-01,6.730000000000000000e+02
8.070000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.447000000000000455e+02,1.600000000000000089e+00,3.134000000000000000e+03,1.830000000000000071e+00,1.711000000000000000e+03,1.399999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.933372296902396537e-01,6.730000000000000000e+02
8.080000000000000000e+02,1.837000000000000000e+03,2.020000000000000018e+00,5.447000000000000455e+02,1.600000000000000089e+00,2.944000000000000000e+03,1.659999999999999920e+00,2.180000000000000000e+03,1.399999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.087155963302752326e-01,6.730000000000000000e+02
8.090000000000000000e+02,1.845406122039690672e+03,2.019259915887921419e+00,5.447000000000000455e+02,1.598458158099836712e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.357000000000000000e+03,1.350000000000000089e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.959469417833456406e-01,6.730000000000000000e+02
8.100000000000000000e+02,1.845406122039690672e+03,2.019259915887921419e+00,5.447000000000000455e+02,1.598458158099836712e+00,3.168399331451192211e+03,1.905647646679147655e+00,1.323000000000000000e+03,1.358633401579719235e+00,-3.194974500000036244e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.086923658352229261e-01,6.730000000000000000e+02
8.110000000000000000e+02,1.845406122039690672e+03,2.019259915887921419e+00,5.447000000000000455e+02,1.598458158099836712e+00,2.581672009471974889e+03,1.823474258598016373e+00,1.223000000000000000e+03,1.350000000000000089e+00,-1.014189399038459560e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.502861815208504037e-01,6.730000000000000000e+02
8.120000000000000000e+02,1.845406122039690672e+03,2.019259915887921419e+00,5.447000000000000455e+02,1.598458158099836712e+00,2.709918896859390316e+03,1.835872777443467108e+00,1.273000000000000000e+03,1.348581037253175685e+00,-1.014189399038459560e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.286724273369992622e-01,6.730000000000000000e+02
8.130000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,3.098925921472180562e+03,1.806131281380543463e+00,1.773000000000000000e+03,1.395232441192870931e+00,-1.748728950000006110e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
8.140000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,3.130706414183323432e+03,1.828914383549810285e+00,1.773000000000000000e+03,1.399849320263056196e+00,-6.837464475862020663e-02,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
8.150000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,2.581672009471974889e+03,1.823474258598016373e+00,1.223000000000000000e+03,1.350000000000000089e+00,-1.014189399038459560e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.502861815208504037e-01,6.730000000000000000e+02
8.160000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,3.168399331451192211e+03,1.905647646679147655e+00,1.323000000000000000e+03,1.358633401579719235e+00,-2.058014592857144720e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.086923658352229261e-01,6.730000000000000000e+02
8.170000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,2.792000000000000000e+03,1.610000000000000098e+00,9.335000000000000000e+02,1.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.209426888055704419e-01,6.730000000000000000e+02
8.180000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,3.147201203061121760e+03,1.855581577864806153e+00,1.773000000000000000e+03,1.382611869975834296e+00,-1.748728950000006110e-01,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,3.795826283135927959e-01,6.730000000000000000e+02
8.190000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,3.200000000000000000e+03,1.899999999999999911e+00,1.357000000000000000e+03,1.350000000000000089e+00,-6.532676000000492075e-03,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.959469417833456406e-01,6.730000000000000000e+02
8.200000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,3.134000000000000000e+03,1.830000000000000071e+00,1.711000000000000000e+03,1.399999999999999911e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,3.933372296902396537e-01,6.730000000000000000e+02
8.210000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,1.363000000000000000e+03,1.310000000000000053e+00,9.230000000000000000e+02,1.500000000000000000e+00,-7.982260125000006923e-02,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,7.291440953412784420e-01,6.730000000000000000e+02
8.220000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,5.017000000000000000e+03,1.600000000000000089e+00,2.750000000000000000e+03,1.449999999999999956e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.447272727272727377e-01,6.730000000000000000e+02
8.230000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,3.184146191652501329e+03,1.909242654393303207e+00,1.728000000000000000e+03,1.350002815373190224e+00,-1.748728950000006110e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.894675925925926152e-01,6.730000000000000000e+02
8.250000000000000000e+02,2.345000000000000000e+03,1.780000000000000027e+00,4.297500000000000000e+02,1.550000000000000044e+00,4.682000000000000000e+03,1.330000000000000071e+00,2.128000000000000000e+03,1.550000000000000044e+00,-3.144682599999999439e-01,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,3.162593984962406291e-01,6.730000000000000000e+02
8.530000000000000000e+02,2.436137674279257226e+03,1.800713107790740342e+00,2.883000000000000114e+02,1.377390768410497568e+00,3.129000000000000000e+03,2.540000000000000036e+00,1.337000000000000000e+03,1.350000000000000089e+00,-2.450837629999995104e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.228870605833956631e-01,2.980000000000000000e+02
